team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Arsenal,572,37625,85,85.38814026163891,61,63.241689590737224,656,509,62,2,75,77.77648868830875,257.7493519447744,161.5015825331211
Aston_Villa,568,37631,72,69.53425243776292,55,53.95589239895344,512,396,93,2,68,66.48957708012313,223.37525371089578,142.02381960768253
Bournemouth,588,37606,52,64.74827837571502,39,46.12534458283335,542,412,80,3,50,62.46477183699608,174.63203385844827,98.68897618167102
Brentford,543,35137,48,58.71929100435227,31,41.36426995508373,424,297,77,1,45,56.43578443210572,140.28432198055089,76.84972757473588
Brighton,594,37611,50,63.01040229620412,36,45.85039696516469,562,429,89,3,45,58.443463454488665,220.83324465434998,154.8336455654353
Burnley,580,37487,40,44.02876076148823,30,31.588814196176827,433,326,71,7,37,41.74525426374748,120.38403709372506,69.14186532469466
Chelsea,520,34479,53,61.52835921617225,40,44.690712532028556,427,342,96,4,51,59.24485271470621,236.01447513420135,166.284646701999
Crystal_Palace,544,37637,56,54.34968711435795,43,43.66715035028756,455,350,69,2,52,51.305011708289385,154.77129071950912,93.8270119316876
Everton,535,37345,40,61.349955222103745,17,42.71596772223711,497,328,79,1,38,59.066448668483645,132.18840097589418,72.13452259916812
Fulham,550,35246,49,48.31612705998123,37,31.766969623975456,447,323,76,4,47,46.79378938488662,145.69944601971656,97.6014256561175
Liverpool,584,37475,80,97.10988530144095,60,71.40385797386989,790,594,65,5,74,90.25943997129798,305.5496652778238,194.71391466259956
Luton,576,37640,49,50.903457670938224,33,35.148868799209595,431,315,71,0,44,47.09761345712468,113.79631350468844,64.08869877643883
Manchester_City,510,36894,94,89.37487971037626,67,66.52462967764586,684,535,51,2,85,81.76319157332182,315.2075018491596,214.07386992592365
Manchester_United,562,37250,57,60.60698120947927,36,42.952244873158634,545,427,77,1,51,55.27879928704351,161.57050722651184,97.4496423471719
Newcastle_United,567,37653,83,86.61039729882032,55,59.29206700436771,550,423,77,1,75,79.75987758208066,243.48169643478468,147.90505035268143
Nottingham_Forest,573,37282,49,52.17527332622558,43,38.570595271885395,448,323,76,3,48,51.41410454828292,157.14585211034864,90.41639820113778
Sheffield_United,511,33795,24,33.603235179092735,14,21.511267004534602,297,203,91,5,20,30.55859657144174,71.45921520050615,38.20091418083757
Tottenham,556,35422,64,61.85784848919138,48,53.98880821466446,532,412,85,4,62,60.33551081409678,245.6969313211739,165.58287065662444
West_Ham,519,37336,58,55.289081232622266,40,37.77000979334116,446,302,75,2,54,51.483237037435174,121.06321834679693,62.73839367739856
Wolverhampton_Wanderers,562,37349,47,51.13926697336137,35,34.96664869878441,426,309,97,3,43,48.094591652974486,125.7787372181192,72.14335913769901
