team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
AC_Milan,590,37384,76,73.1017345469445,56,50.59161297418177,562,431,77,8,70,67.01134394295514,212.91767053958029,134.53657188173383
Atalanta,583,36472,70,68.98864972777665,56,52.01166222523898,534,428,70,1,65,65.18215559609234,198.79495764989406,116.89314912352711
Bologna,591,37519,53,54.402708884328604,32,37.27286372007802,477,358,82,2,49,50.59625465981662,158.29710463341326,100.72674531349912
Cagliari,577,35503,35,42.96717816404998,29,29.69294221699238,430,314,69,3,33,39.921982964500785,95.15412528906018,51.012223709374666
Empoli,579,36585,25,36.02035947935656,18,26.556024053134024,395,282,85,1,20,32.21386538306251,99.65716393105686,59.20834414847195
Fiorentina,556,35477,57,53.94092346448451,40,37.37280275300145,480,377,78,0,53,47.85053286794573,140.38703203294426,85.09959257394075
Frosinone,564,35795,43,49.67602872848511,24,29.67446141783148,455,324,63,1,35,42.063040466979146,120.03483962919563,71.41354820039123
Genoa,567,37442,43,40.16305163875222,27,26.676574726589024,401,298,73,3,38,35.59525868948549,82.52418270520866,45.61994779575616
Inter,608,37633,87,87.079047575593,60,61.56098413839936,595,443,46,1,74,76.42086395900697,297.5342593099922,204.48447826318443
Juventus,590,37549,52,66.3207110594958,37,47.61303983256221,535,417,85,2,49,62.51421691291034,171.7330285673961,105.10106213763356
Lazio,601,37582,46,51.9657508097589,30,37.29702645726502,440,331,97,5,42,48.92055544257164,169.4057178273797,108.01379409246147
Lecce,563,36192,25,42.007287808693945,23,33.220592052675784,453,368,79,5,23,38.962092460133135,118.53547338396311,71.62405091151595
Monza,565,35282,30,40.540741321630776,26,29.628967561293393,413,321,76,3,26,36.73424718249589,140.13963796617463,94.93565629189834
Napoli,546,36532,52,67.55945921689272,36,47.88895559031516,617,477,66,4,46,59.946471124887466,210.6525131808594,141.76838366035372
Roma,549,35897,59,52.650617198087275,42,35.66158874053508,440,350,86,3,48,43.5150313898921,155.57658160757273,106.36977015342563
Salernitana,528,33351,32,31.05750286579132,22,18.997653945349157,382,274,78,1,30,29.534905195236206,78.16218379046768,45.929618909955025
Sassuolo,577,36063,42,43.889028389938176,26,26.840091279242188,454,324,62,3,35,37.79863787163049,101.25698282103986,55.01290431153029
Torino,505,32668,23,30.87794908322394,25,30.61058394704014,321,307,68,2,21,29.355351412668824,115.22012083698064,79.67777652386576
Udinese,584,37490,36,45.169166774023324,23,30.961294637061656,460,329,86,5,33,42.12397139566019,116.45195577479899,71.10373271489516
Verona,507,31343,27,29.602789382450283,24,21.849969314411283,351,269,69,5,25,26.557594086043537,74.96881528943777,42.36168374400586
