team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Angers,588,37524,39,40.61406874284148,23,25.189318157266825,401,288,63,2,34,36.053767412900925,106.51791635714471,63.81512786448002
Bordeaux,587,37497,41,43.867216585204005,32,31.443972818553448,420,317,74,4,37,40.826839519664645,120.92950405366719,77.75532792694867
Brest,527,35995,46,44.817949859425426,29,31.49316149111837,419,323,57,3,43,41.77756495587528,127.30223390646279,79.16525020264089
Dijon,539,35190,25,31.793613351881504,12,18.832491581328213,340,235,73,5,22,27.993139799684286,71.44662766810507,38.067578272894025
Lens,554,36238,46,51.12014459539205,32,35.392291250173,416,312,84,7,36,41.999260222539306,135.91132614947855,88.47266038507223
Lille,587,37590,62,48.30127242952585,39,33.23721314780414,486,363,66,2,57,44.500800860114396,142.60109008010477,82.80336819216609
Lorient,581,37507,48,48.614498543553054,26,30.372520567383617,426,286,66,3,39,41.01368023920804,111.27268996462226,60.439812613651156
Lyon,584,37329,77,83.13001861982048,46,56.427221201360226,606,453,59,9,66,74.76903688441962,243.06925070937723,148.6077672764659
Marseille,571,37416,53,49.72229653969407,45,39.04793047532439,382,300,93,9,49,44.40176891814917,157.8208378115669,105.95144241023809
Metz,547,37442,42,41.97663836646825,28,26.908209743443877,431,312,81,4,35,33.615732927806675,96.71714688558131,56.47568486118689
Monaco,596,37391,76,70.98484565876424,52,48.9048056602478,487,374,73,7,64,59.58348389528692,189.58818128705025,118.18005604669452
Montpellier,580,37252,60,53.89726310689002,42,34.11050490755588,466,333,65,7,58,50.09685343224555,116.95224082563072,66.26638344302773
Nantes,557,37489,47,48.474018624052405,28,28.82165990304202,412,297,66,4,39,41.6332969404757,98.35473288223147,52.375656695105135
Nice,540,36453,48,45.653355156071484,23,27.631247458979487,395,267,68,4,41,40.33301754016429,130.986462617293,81.75468310713768
Nimes,541,36004,39,41.075970565434545,25,27.670213265810162,382,267,56,5,32,34.99521020939574,105.5722664440982,62.40812615258619
Paris_Saint_Germain,571,37472,85,84.87360094767064,52,59.03620037250221,565,408,72,7,73,74.99263496976346,277.8219994911924,181.14119607955217
Reims,563,37353,39,33.41094434261322,23,22.038381033577025,363,275,75,8,34,29.610466830432415,89.02756140194833,54.39652212802321
Rennes,548,35336,50,46.744367711246014,39,35.261231997050345,511,374,77,4,47,44.4641477195546,147.25182344997302,100.0703623094596
Saint-Etienne,594,37528,40,48.01857006456703,28,30.658153295516968,442,328,76,2,34,41.17798153869808,99.30778886377811,54.32353702560067
Strasbourg,503,32945,38,44.82508414890617,21,27.8761666091159,350,244,45,3,29,36.46403303928673,92.52946909144521,47.15362215787172
