team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Arminia_Bielefeld,505,32605,23,30.76395615004003,16,21.620283319149166,323,219,51,1,22,29.248483112081885,73.4989731060341,36.469209155999124
Augsburg,503,32872,34,35.73037712648511,22,24.331819084938616,329,232,62,4,32,31.94157386943698,85.47985760495067,43.53671023994684
Bayer_Leverkusen,496,33659,52,48.01623233873397,40,36.62189125083387,444,356,58,0,49,45.742901352234185,149.12062158435583,85.84467109292746
Bayern_Munich,508,33478,98,77.2375186868012,72,55.5216219490394,576,453,44,3,89,69.65975183621049,254.33154289983213,157.92603907361627
Borussia_Dortmund,513,33637,74,70.34591150050983,57,53.03431123076007,495,392,43,1,71,65.21372220059857,241.83088801335543,161.79278970509768
Borussia_M.Gladbach,509,33443,63,54.950585283339024,42,35.35757358092815,452,328,61,2,53,46.61519940942526,134.49726925604045,78.05065922997892
Eintracht_Frankfurt,497,33313,63,59.783647040836506,50,46.8539710547775,439,357,79,1,55,53.72168616484851,164.85276098176837,89.58610929828137
FC_Cologne,522,33662,33,39.95961753278971,22,25.652846731245518,362,259,62,1,29,35.41295850556344,88.18104779720306,50.707395339384675
Freiburg,526,33673,51,45.84774933569133,34,30.11180873028934,391,287,63,0,45,41.301249297335744,117.6249497719109,68.55594621505588
Hertha_Berlin,521,33598,40,41.2050363086164,29,28.485343327745795,383,278,63,3,36,36.65861119329929,106.12460322957486,57.73532464914024
Hoffenheim,468,30967,50,49.7949923411943,33,33.59065768821165,412,293,59,4,45,45.24842733005062,142.03094425797462,83.87920016236603
Mainz_05,489,30987,38,48.17607679031789,20,30.808258310891688,359,252,56,1,33,44.387361055240035,118.85555662680417,60.82364935986698
RasenBallsport_Leipzig,528,33670,59,68.09256485849619,43,45.58369725290686,540,417,57,0,51,60.51495543960482,186.38770869839936,115.76352979708463
Schalke_04,481,32981,24,28.269627276808023,19,19.69125485699624,297,213,68,2,24,25.99645389802754,70.2339612999931,38.46627558581531
Union_Berlin,501,32703,44,40.16023228177801,37,32.155888623557985,366,285,55,2,39,34.856039094273,120.16800752701238,71.62244964716956
VfB_Stuttgart,530,33592,54,53.044881669804454,42,39.0023867203854,458,360,63,2,48,46.98291662381962,150.33078307379037,84.91418061917648
Werder_Bremen,518,33627,35,32.63852658448741,22,20.70633102208376,360,249,63,3,30,28.849805634003133,79.5015966501087,46.539708863943815
Wolfsburg,468,30948,51,48.45625781081616,40,35.52153690904379,442,310,55,3,49,46.182919731363654,140.67704404797405,82.06165040656924
